"user_id,""gym_id"",""checkin_time"",""checkout_time"",""workout_type"",""calories_burned"",""first_name"",""last_name"",""age"",""gender"",""birthdate"",""user_location"",""subscription_plan"""
"user_2397,gym_7,""2023-07-27 16:07:00"",""2023-07-27 18:09:00"",Yoga,454,Chris,Williams,22,Female,""1993-04-01"",Detroit,Student"
"user_975,gym_10,""2023-05-06 11:41:00"",""2023-05-06 14:14:00"",CrossFit,1069,Robert,Davis,43,Non-binary,""2003-11-08"",San Francisco,Student"
"user_4489,gym_8,""2023-04-06 17:32:00"",""2023-04-06 19:22:00"",Yoga,886,Jessica,Martinez,19,Male,""1988-08-01"",Detroit,Student"
"user_4650,gym_10,""2023-05-01 15:05:00"",""2023-05-01 15:59:00"",Cardio,379,Sarah,Davis,52,Female,""1975-10-19"",Miami,Pro"
"user_2895,gym_5,""2023-02-09 20:47:00"",""2023-02-09 22:33:00"",Pilates,737,Daniel,Garcia,43,Male,""1969-03-14"",San Francisco,Student"
"user_3280,gym_3,""2023-05-10 14:08:00"",""2023-05-10 16:24:00"",Pilates,556,Jane,Miller,37,Non-binary,""1983-06-28"",Las Vegas,Basic"
"user_4922,gym_6,""2023-05-29 16:01:00"",""2023-05-29 17:06:00"",Pilates,1930,John,Williams,56,Male,""1989-03-22"",Las Vegas,Basic"
"user_4840,gym_7,""2023-03-23 19:35:00"",""2023-03-23 22:20:00"",Swimming,511,Chris,Miller,26,Female,""1995-10-26"",Seattle,Pro"
"user_2225,gym_1,""2023-04-09 08:31:00"",""2023-04-09 09:36:00"",Weightlifting,813,Jessica,Smith,64,Male,""2001-06-07"",San Francisco,Basic"
"user_2559,gym_10,""2023-02-22 17:48:00"",""2023-02-22 20:29:00"",Cardio,730,David,Johnson,22,Female,""1975-12-23"",Las Vegas,Student"
"user_3691,gym_4,""2023-10-14 17:05:00"",""2023-10-14 19:45:00"",Pilates,1636,Emily,Davis,52,Non-binary,""1982-03-14"",San Francisco,Student"
"user_139,gym_4,""2023-01-26 18:24:00"",""2023-01-26 19:11:00"",CrossFit,432,Emily,Wilson,56,Female,""1976-01-17"",Detroit,Basic"
"user_3174,gym_3,""2023-01-31 10:53:00"",""2023-01-31 13:09:00"",Yoga,1296,Daniel,Smith,33,Female,""1973-05-20"",Boston,Basic"
"user_2521,gym_3,""2023-07-12 10:31:00"",""2023-07-12 13:06:00"",Weightlifting,1192,Chris,Smith,19,Male,""1964-06-07"",Orlando,Student"
"user_4638,gym_4,""2023-06-16 08:57:00"",""2023-06-16 11:46:00"",CrossFit,321,Robert,Brown,38,Male,""2003-06-11"",Orlando,Basic"
"user_2242,gym_6,""2023-01-16 07:34:00"",""2023-01-16 08:28:00"",CrossFit,1079,Emily,Williams,48,Male,""1958-06-16"",Miami,Basic"
"user_3828,gym_5,""2023-02-11 06:54:00"",""2023-02-11 07:49:00"",Cardio,1714,Daniel,Brown,61,Male,""1966-08-14"",Las Vegas,Basic"
"user_1338,gym_10,""2023-08-11 16:42:00"",""2023-08-11 19:27:00"",Cardio,273,Jessica,Davis,46,Male,""2005-03-21"",Seattle,Student"
"user_4090,gym_6,""2023-05-07 08:18:00"",""2023-05-07 08:57:00"",Swimming,501,Chris,Moore,61,Male,""2004-02-03"",Denver,Basic"
"user_2853,gym_7,""2023-05-01 18:52:00"",""2023-05-01 20:19:00"",Yoga,704,Michael,Wilson,48,Female,""1966-02-20"",Orlando,Student"
"user_2295,gym_6,""2023-07-21 14:42:00"",""2023-07-21 16:31:00"",CrossFit,932,Sarah,Brown,50,Male,""1974-08-31"",Atlanta,Student"
"user_2678,gym_4,""2023-08-27 11:06:00"",""2023-08-27 12:13:00"",CrossFit,951,Sarah,Smith,38,Male,""2001-03-12"",Orlando,Student"
"user_73,gym_2,""2023-01-17 12:51:00"",""2023-01-17 13:26:00"",Yoga,667,Sarah,Smith,53,Non-binary,""1989-10-11"",Miami,Pro"
"user_2879,gym_4,""2023-04-04 09:23:00"",""2023-04-04 10:28:00"",Weightlifting,1431,David,Miller,43,Female,""1977-08-08"",Orlando,Pro"
"user_2142,gym_6,""2023-10-15 07:43:00"",""2023-10-15 09:25:00"",Pilates,735,Sarah,Williams,51,Male,""2002-05-22"",Austin,Student"
"user_4531,gym_4,""2023-08-09 15:17:00"",""2023-08-09 15:55:00"",Weightlifting,1018,Michael,Smith,53,Female,""1962-10-26"",Atlanta,Student"
"user_1807,gym_8,""2023-03-25 12:11:00"",""2023-03-25 13:43:00"",Pilates,1373,Emily,Moore,41,Female,""1964-02-14"",Miami,Student"
"user_2046,gym_1,""2023-10-13 07:49:00"",""2023-10-13 10:07:00"",Yoga,627,Jessica,Wilson,23,Male,""1977-12-07"",Denver,Student"
"user_3503,gym_7,""2023-04-05 14:36:00"",""2023-04-05 17:00:00"",Yoga,717,David,Jones,21,Male,""1962-05-15"",Denver,Student"
"user_4553,gym_6,""2023-09-23 12:18:00"",""2023-09-23 13:47:00"",Weightlifting,779,Sarah,Garcia,43,Female,""1966-03-03"",Detroit,Student"
"user_3502,gym_4,""2023-09-15 13:12:00"",""2023-09-15 14:34:00"",Swimming,491,Laura,Jones,24,Male,""2005-06-21"",Orlando,Student"
"user_2277,gym_1,""2023-09-11 13:12:00"",""2023-09-11 15:10:00"",Weightlifting,1254,Sarah,Martinez,54,Female,""1990-03-21"",Austin,Basic"
"user_2078,gym_6,""2023-10-15 12:56:00"",""2023-10-15 15:00:00"",Swimming,764,Emily,Rodriguez,37,Male,""1959-10-21"",Denver,Pro"
"user_1649,gym_2,""2023-02-16 13:01:00"",""2023-02-16 15:48:00"",Weightlifting,364,Sarah,Wilson,41,Female,""1996-04-13"",Las Vegas,Pro"
"user_335,gym_10,""2023-09-03 06:02:00"",""2023-09-03 07:50:00"",Pilates,364,Jessica,Smith,45,Female,""1982-08-12"",Austin,Student"
"user_4756,gym_3,""2023-01-07 14:10:00"",""2023-01-07 15:28:00"",Cardio,525,Sarah,Wilson,30,Male,""2001-07-18"",Detroit,Student"
"user_4665,gym_6,""2023-09-01 06:50:00"",""2023-09-01 08:15:00"",Yoga,438,Robert,Rodriguez,49,Female,""1970-12-03"",Orlando,Basic"
"user_4273,gym_5,""2023-06-28 11:45:00"",""2023-06-28 12:49:00"",Weightlifting,1350,David,Williams,20,Female,""1960-09-14"",San Francisco,Student"
"user_2872,gym_3,""2023-06-19 11:05:00"",""2023-06-19 12:03:00"",CrossFit,504,Emily,Moore,32,Male,""1987-11-29"",Orlando,Student"
"user_2616,gym_5,""2023-04-18 13:42:00"",""2023-04-18 15:36:00"",Weightlifting,1564,Emily,Smith,32,Female,""1975-06-11"",Denver,Pro"
"user_4873,gym_5,""2023-08-03 07:56:00"",""2023-08-03 08:33:00"",Cardio,617,Emily,Johnson,59,Female,""1987-12-08"",Austin,Pro"
"user_4173,gym_3,""2023-04-13 20:49:00"",""2023-04-13 21:33:00"",Swimming,189,John,Davis,37,Female,""1959-07-11"",Boston,Basic"
"user_933,gym_9,""2023-05-19 12:01:00"",""2023-05-19 13:07:00"",Weightlifting,220,Robert,Williams,51,Female,""2004-06-07"",Denver,Student"
"user_636,gym_10,""2023-04-22 13:40:00"",""2023-04-22 16:19:00"",CrossFit,672,Emily,Miller,43,Male,""1983-08-19"",Detroit,Student"
"user_3230,gym_7,""2023-06-24 17:28:00"",""2023-06-24 19:35:00"",Cardio,493,Michael,Moore,39,Male,""1997-03-28"",Seattle,Pro"
"user_1191,gym_5,""2023-02-08 15:14:00"",""2023-02-08 18:12:00"",Yoga,683,Chris,Davis,60,Female,""1973-12-19"",Orlando,Pro"
"user_12,gym_3,""2023-07-05 06:22:00"",""2023-07-05 08:30:00"",Cardio,935,Sarah,Martinez,41,Female,""1963-05-18"",Miami,Student"
"user_4003,gym_2,""2023-04-30 18:11:00"",""2023-04-30 20:35:00"",Cardio,1721,David,Moore,45,Male,""1958-10-24"",San Francisco,Basic"
"user_4927,gym_9,""2023-09-21 08:14:00"",""2023-09-21 10:17:00"",Pilates,635,Daniel,Rodriguez,40,Male,""1975-08-27"",Austin,Student"
"user_1450,gym_8,""2023-08-14 14:10:00"",""2023-08-14 16:58:00"",CrossFit,1733,Jessica,Rodriguez,35,Female,""1990-02-28"",Miami,Pro"
"user_449,gym_6,""2023-06-24 07:23:00"",""2023-06-24 09:59:00"",Cardio,524,Linda,Rodriguez,22,Female,""1970-11-28"",Atlanta,Student"
"user_2497,gym_7,""2023-05-29 20:53:00"",""2023-05-29 22:29:00"",Weightlifting,574,Sarah,Miller,62,Female,""1978-05-04"",Austin,Pro"
"user_427,gym_6,""2023-05-18 15:57:00"",""2023-05-18 17:23:00"",Cardio,311,Daniel,Johnson,47,Male,""1964-09-24"",Orlando,Pro"
"user_916,gym_5,""2023-10-05 15:49:00"",""2023-10-05 18:44:00"",Cardio,470,Jane,Moore,62,Male,""2004-04-02"",Las Vegas,Basic"
"user_3170,gym_3,""2023-04-30 10:07:00"",""2023-04-30 11:31:00"",CrossFit,575,Emily,Davis,44,Female,""1982-03-15"",Denver,Student"
"user_4727,gym_2,""2023-09-12 10:31:00"",""2023-09-12 12:35:00"",Swimming,1744,Jane,Williams,45,Female,""1980-09-23"",San Francisco,Pro"
"user_4322,gym_4,""2023-04-22 13:45:00"",""2023-04-22 16:31:00"",Pilates,940,Emily,Smith,58,Female,""1959-05-16"",San Francisco,Pro"
"user_447,gym_7,""2023-02-23 12:46:00"",""2023-02-23 14:27:00"",Pilates,1196,Emily,Brown,33,Male,""1987-07-18"",Miami,Student"
"user_1911,gym_9,""2023-03-10 19:52:00"",""2023-03-10 22:12:00"",Cardio,1055,Chris,Davis,59,Female,""1994-10-19"",Boston,Student"
"user_3736,gym_9,""2023-10-15 06:41:00"",""2023-10-15 09:16:00"",Weightlifting,334,Robert,Martinez,36,Male,""1971-04-06"",Boston,Basic"
"user_2251,gym_5,""2023-03-25 12:41:00"",""2023-03-25 14:04:00"",Cardio,1221,Laura,Johnson,53,Male,""1985-10-16"",Boston,Basic"
"user_4771,gym_1,""2023-01-17 07:01:00"",""2023-01-17 09:45:00"",Cardio,1223,Jane,Brown,60,Male,""1992-07-02"",Orlando,Basic"
"user_2682,gym_7,""2023-06-06 17:24:00"",""2023-06-06 18:25:00"",Pilates,899,Daniel,Davis,57,Male,""2003-05-16"",Austin,Basic"
"user_1402,gym_9,""2023-03-02 13:45:00"",""2023-03-02 15:24:00"",Yoga,1275,Robert,Williams,60,Female,""1969-05-05"",Atlanta,Pro"
"user_3408,gym_1,""2023-03-05 06:56:00"",""2023-03-05 08:52:00"",Cardio,587,Linda,Davis,64,Female,""1986-10-20"",Denver,Student"
"user_1044,gym_2,""2023-06-21 06:31:00"",""2023-06-21 07:44:00"",Swimming,409,Robert,Brown,42,Male,""1960-08-30"",San Francisco,Pro"
"user_3019,gym_6,""2023-03-02 18:58:00"",""2023-03-02 20:48:00"",Cardio,1601,Chris,Wilson,55,Male,""1993-12-10"",Miami,Student"
"user_392,gym_6,""2023-06-27 14:38:00"",""2023-06-27 17:21:00"",Swimming,487,Laura,Brown,31,Male,""1989-11-02"",San Francisco,Pro"
"user_4820,gym_9,""2023-03-01 12:26:00"",""2023-03-01 14:26:00"",CrossFit,974,John,Miller,62,Female,""1981-03-26"",Boston,Student"
"user_1286,gym_6,""2023-07-26 20:09:00"",""2023-07-26 21:26:00"",CrossFit,1236,Daniel,Jones,50,Male,""1995-04-13"",Atlanta,Pro"
"user_4110,gym_6,""2023-03-02 13:55:00"",""2023-03-02 14:46:00"",CrossFit,1223,Jessica,Davis,46,Male,""1964-01-03"",Seattle,Pro"
"user_2435,gym_3,""2023-05-15 11:21:00"",""2023-05-15 12:07:00"",CrossFit,503,Emily,Smith,52,Female,""1994-01-23"",Las Vegas,Basic"
"user_642,gym_6,""2023-01-02 20:42:00"",""2023-01-02 21:59:00"",Cardio,1058,Daniel,Davis,45,Female,""1970-12-07"",Denver,Pro"
"user_1046,gym_7,""2023-07-23 06:15:00"",""2023-07-23 09:03:00"",Swimming,679,Linda,Wilson,59,Female,""1965-03-17"",Orlando,Pro"
"user_4321,gym_4,""2023-09-06 15:27:00"",""2023-09-06 16:18:00"",Weightlifting,1521,Jane,Smith,34,Male,""1974-05-19"",Seattle,Pro"
"user_4038,gym_2,""2023-02-09 20:17:00"",""2023-02-09 22:08:00"",Cardio,1495,David,Smith,48,Female,""1977-04-30"",Atlanta,Pro"
"user_3048,gym_8,""2023-05-26 20:18:00"",""2023-05-26 21:46:00"",CrossFit,1257,David,Wilson,59,Male,""1964-03-20"",Detroit,Student"
"user_1158,gym_10,""2023-04-09 11:56:00"",""2023-04-09 13:20:00"",Yoga,988,Robert,Davis,39,Male,""1994-01-14"",Seattle,Student"
"user_3250,gym_6,""2023-07-08 07:40:00"",""2023-07-08 08:31:00"",Pilates,1198,Emily,Davis,47,Female,""1984-09-10"",Austin,Student"
"user_3628,gym_6,""2023-04-13 06:37:00"",""2023-04-13 09:20:00"",Swimming,1069,Michael,Moore,23,Male,""1995-07-28"",San Francisco,Basic"
"user_1544,gym_3,""2023-02-27 12:20:00"",""2023-02-27 15:13:00"",Pilates,1944,Michael,Jones,35,Female,""2003-03-22"",Seattle,Basic"
"user_792,gym_2,""2023-04-05 08:09:00"",""2023-04-05 10:24:00"",CrossFit,1750,Chris,Johnson,51,Female,""2005-06-15"",Atlanta,Student"
"user_437,gym_5,""2023-04-14 19:20:00"",""2023-04-14 20:27:00"",Pilates,1912,John,Miller,29,Male,""2001-03-12"",Denver,Student"
"user_3515,gym_7,""2023-03-14 09:44:00"",""2023-03-14 12:17:00"",Pilates,446,John,Smith,60,Female,""2003-06-06"",San Francisco,Student"
"user_4677,gym_2,""2023-03-20 12:36:00"",""2023-03-20 14:32:00"",Pilates,613,Michael,Miller,23,Male,""1969-11-02"",Detroit,Basic"
"user_4783,gym_7,""2023-09-16 17:38:00"",""2023-09-16 18:48:00"",Swimming,925,Emily,Davis,18,Male,""1986-12-12"",Miami,Pro"
"user_4461,gym_2,""2023-05-06 08:57:00"",""2023-05-06 11:01:00"",Yoga,1129,Robert,Miller,24,Male,""1960-10-10"",Denver,Basic"
"user_3960,gym_3,""2023-09-23 10:32:00"",""2023-09-23 11:58:00"",Swimming,473,Robert,Wilson,45,Male,""1977-05-13"",Orlando,Student"
"user_4365,gym_10,""2023-03-03 10:47:00"",""2023-03-03 13:46:00"",Swimming,832,Michael,Williams,51,Female,""1983-03-11"",San Francisco,Student"
"user_1717,gym_5,""2023-04-11 18:55:00"",""2023-04-11 21:30:00"",Swimming,633,Emily,Rodriguez,44,Female,""1994-12-20"",Miami,Pro"
"user_3637,gym_5,""2023-07-24 20:25:00"",""2023-07-24 22:42:00"",Pilates,1038,Laura,Moore,55,Male,""1965-10-21"",San Francisco,Pro"
"user_3365,gym_2,""2023-08-19 08:33:00"",""2023-08-19 10:00:00"",Swimming,1442,Daniel,Smith,59,Female,""2001-02-09"",San Francisco,Pro"
"user_4174,gym_1,""2023-07-26 07:20:00"",""2023-07-26 09:39:00"",CrossFit,1809,Emily,Smith,47,Non-binary,""1982-05-15"",Denver,Basic"
"user_189,gym_9,""2023-10-02 10:20:00"",""2023-10-02 11:41:00"",Yoga,335,Michael,Davis,26,Female,""1963-10-14"",Atlanta,Pro"
"user_2719,gym_4,""2023-05-29 06:54:00"",""2023-05-29 09:44:00"",Cardio,427,Emily,Martinez,30,Female,""1970-11-22"",Denver,Student"
"user_2406,gym_9,""2023-02-22 15:03:00"",""2023-02-22 16:32:00"",CrossFit,556,John,Davis,39,Female,""1958-04-26"",Austin,Student"
"user_3931,gym_10,""2023-01-18 10:07:00"",""2023-01-18 11:20:00"",Weightlifting,469,Jane,Miller,55,Female,""1975-08-26"",Denver,Basic"
"user_3166,gym_5,""2023-01-09 18:32:00"",""2023-01-09 19:58:00"",Weightlifting,432,Emily,Smith,61,Male,""2005-01-05"",Austin,Pro"
"user_903,gym_2,""2023-08-02 11:59:00"",""2023-08-02 12:42:00"",CrossFit,857,Emily,Rodriguez,56,Male,""1970-09-26"",Orlando,Pro"
"user_341,gym_9,""2023-06-26 07:46:00"",""2023-06-26 10:26:00"",Weightlifting,361,Robert,Wilson,58,Female,""1959-12-21"",San Francisco,Pro"
"user_2882,gym_9,""2023-09-14 17:22:00"",""2023-09-14 20:03:00"",Swimming,321,Chris,Miller,27,Female,""1989-12-27"",Las Vegas,Student"
"user_4507,gym_6,""2023-04-12 13:30:00"",""2023-04-12 14:56:00"",Weightlifting,311,Chris,Smith,18,Female,""2002-12-29"",Boston,Basic"
"user_4994,gym_1,""2023-01-16 19:44:00"",""2023-01-16 21:40:00"",Weightlifting,1132,Sarah,Williams,52,Male,""1992-10-26"",Orlando,Pro"
"user_644,gym_2,""2023-09-26 08:29:00"",""2023-09-26 09:05:00"",Yoga,697,David,Garcia,45,Female,""1967-06-29"",Detroit,Student"
"user_21,gym_5,""2023-10-10 09:28:00"",""2023-10-10 12:10:00"",Pilates,1395,Daniel,Smith,47,Female,""1975-10-29"",Seattle,Student"
"user_3073,gym_10,""2023-01-24 16:04:00"",""2023-01-24 16:51:00"",Cardio,1176,David,Jones,35,Female,""1995-04-10"",Las Vegas,Basic"
"user_678,gym_5,""2023-07-16 09:35:00"",""2023-07-16 11:26:00"",CrossFit,928,Emily,Miller,33,Male,""1969-09-30"",San Francisco,Pro"
"user_1100,gym_6,""2023-07-25 14:25:00"",""2023-07-25 16:55:00"",Swimming,589,Emily,Miller,53,Male,""1998-03-21"",Orlando,Student"
"user_2651,gym_5,""2023-06-06 19:07:00"",""2023-06-06 21:16:00"",Weightlifting,1129,Sarah,Garcia,60,Male,""1993-10-27"",Las Vegas,Student"
"user_3470,gym_8,""2023-01-30 19:32:00"",""2023-01-30 22:22:00"",Yoga,835,Linda,Miller,41,Male,""1958-01-17"",Seattle,Pro"
"user_4184,gym_10,""2023-09-07 12:16:00"",""2023-09-07 14:02:00"",Pilates,855,Daniel,Smith,46,Male,""1987-01-15"",Orlando,Pro"
"user_2065,gym_8,""2023-01-28 09:04:00"",""2023-01-28 10:00:00"",Pilates,687,Sarah,Moore,37,Female,""1959-09-13"",Seattle,Pro"
"user_3401,gym_9,""2023-07-04 18:46:00"",""2023-07-04 21:19:00"",Weightlifting,262,Daniel,Jones,25,Non-binary,""1992-11-12"",Austin,Basic"
"user_2872,gym_7,""2023-04-02 16:30:00"",""2023-04-02 17:55:00"",Pilates,1262,Emily,Moore,32,Male,""1987-11-29"",Orlando,Student"
"user_2431,gym_4,""2023-06-18 11:33:00"",""2023-06-18 12:55:00"",Weightlifting,1332,Robert,Wilson,43,Female,""1962-03-26"",Orlando,Pro"
"user_2688,gym_2,""2023-05-12 14:29:00"",""2023-05-12 15:03:00"",Weightlifting,1250,Sarah,Jones,49,Non-binary,""1983-12-19"",Seattle,Pro"
"user_1417,gym_4,""2023-05-15 20:02:00"",""2023-05-15 22:01:00"",CrossFit,359,Michael,Jones,57,Non-binary,""1984-04-14"",Boston,Basic"
"user_4406,gym_3,""2023-07-01 18:33:00"",""2023-07-01 19:44:00"",Swimming,794,David,Davis,29,Female,""1959-03-01"",Atlanta,Basic"
"user_492,gym_9,""2023-04-28 20:31:00"",""2023-04-28 22:22:00"",Cardio,643,Emily,Wilson,19,Male,""1993-09-23"",Orlando,Basic"
"user_760,gym_8,""2023-04-27 08:57:00"",""2023-04-27 09:42:00"",Weightlifting,941,Emily,Moore,30,Female,""1971-12-20"",Boston,Student"
"user_3502,gym_10,""2023-08-27 20:42:00"",""2023-08-27 21:53:00"",Cardio,792,Laura,Jones,24,Male,""2005-06-21"",Orlando,Student"
"user_1,gym_8,""2023-03-19 08:22:00"",""2023-03-19 10:36:00"",Swimming,468,Chris,Wilson,56,Female,""2000-02-29"",Denver,Basic"
"user_2089,gym_7,""2023-06-20 20:06:00"",""2023-06-20 23:02:00"",Pilates,727,David,Jones,55,Male,""1966-05-18"",Austin,Basic"
"user_3657,gym_5,""2023-05-24 08:29:00"",""2023-05-24 09:24:00"",Pilates,678,Chris,Moore,25,Female,""1970-09-12"",Boston,Basic"
"user_4768,gym_2,""2023-02-11 07:23:00"",""2023-02-11 08:43:00"",Pilates,1994,Laura,Smith,56,Male,""1971-11-01"",Orlando,Basic"
"user_212,gym_1,""2023-07-16 09:28:00"",""2023-07-16 10:05:00"",Yoga,515,Jessica,Rodriguez,50,Non-binary,""1995-05-21"",San Francisco,Pro"
"user_3723,gym_8,""2023-05-09 18:35:00"",""2023-05-09 21:34:00"",Weightlifting,327,Robert,Williams,47,Non-binary,""2004-10-03"",Denver,Student"
"user_3518,gym_7,""2023-08-22 20:44:00"",""2023-08-22 21:45:00"",Swimming,469,Linda,Johnson,44,Male,""1992-10-28"",Denver,Student"
"user_1966,gym_3,""2023-04-18 15:16:00"",""2023-04-18 17:34:00"",CrossFit,908,Sarah,Jones,23,Male,""2001-12-19"",Atlanta,Basic"
"user_304,gym_3,""2023-06-14 11:32:00"",""2023-06-14 12:59:00"",Swimming,283,Michael,Rodriguez,38,Female,""1970-09-01"",Miami,Pro"
"user_4787,gym_10,""2023-04-29 20:26:00"",""2023-04-29 22:15:00"",Cardio,589,David,Martinez,58,Female,""1966-10-07"",Denver,Student"
"user_3773,gym_7,""2023-07-15 19:14:00"",""2023-07-15 21:09:00"",Cardio,411,Emily,Smith,34,Female,""1970-11-04"",Boston,Basic"
"user_1782,gym_5,""2023-01-21 09:20:00"",""2023-01-21 12:12:00"",CrossFit,1054,Daniel,Moore,55,Male,""1965-01-17"",Miami,Student"
"user_3226,gym_6,""2023-08-06 09:17:00"",""2023-08-06 10:27:00"",Cardio,1074,David,Moore,31,Male,""1962-06-23"",Atlanta,Basic"
"user_4712,gym_4,""2023-06-07 12:37:00"",""2023-06-07 13:08:00"",Pilates,1120,Robert,Smith,47,Female,""1993-02-06"",Miami,Basic"
"user_4619,gym_7,""2023-06-25 17:09:00"",""2023-06-25 18:47:00"",Yoga,1759,Michael,Johnson,51,Female,""1983-05-22"",Las Vegas,Basic"
"user_2073,gym_6,""2023-02-02 12:46:00"",""2023-02-02 15:30:00"",Yoga,632,Laura,Jones,64,Male,""1993-01-27"",Seattle,Basic"
"user_808,gym_5,""2023-07-06 17:14:00"",""2023-07-06 18:37:00"",CrossFit,2023,Emily,Jones,27,Female,""2001-11-07"",Seattle,Student"
"user_4121,gym_10,""2023-08-24 08:24:00"",""2023-08-24 10:58:00"",Yoga,648,David,Garcia,25,Non-binary,""1964-04-28"",Denver,Student"
"user_1777,gym_3,""2023-03-14 07:23:00"",""2023-03-14 08:51:00"",Swimming,1613,Chris,Miller,23,Female,""1969-02-21"",San Francisco,Pro"
"user_3191,gym_5,""2023-04-05 12:06:00"",""2023-04-05 13:35:00"",Pilates,356,Robert,Brown,64,Male,""1964-05-13"",San Francisco,Basic"
"user_4043,gym_9,""2023-10-03 10:16:00"",""2023-10-03 12:09:00"",Swimming,473,Jane,Williams,64,Female,""1969-07-07"",Atlanta,Student"
"user_4204,gym_3,""2023-07-01 06:34:00"",""2023-07-01 09:25:00"",Pilates,1315,Daniel,Moore,62,Non-binary,""1982-12-16"",Miami,Basic"
"user_1354,gym_7,""2023-05-31 10:30:00"",""2023-05-31 13:05:00"",CrossFit,885,Jane,Garcia,42,Male,""1990-11-26"",Boston,Pro"
"user_180,gym_8,""2023-01-25 06:29:00"",""2023-01-25 09:26:00"",Weightlifting,1503,Chris,Garcia,18,Non-binary,""1996-12-14"",Atlanta,Pro"
"user_881,gym_8,""2023-01-04 19:49:00"",""2023-01-04 20:27:00"",Weightlifting,345,Michael,Smith,19,Male,""1977-12-01"",San Francisco,Basic"
"user_1831,gym_9,""2023-02-02 17:28:00"",""2023-02-02 18:44:00"",CrossFit,824,Sarah,Johnson,35,Male,""1998-03-24"",Detroit,Pro"
"user_4699,gym_7,""2023-02-10 13:22:00"",""2023-02-10 14:34:00"",Yoga,1092,Sarah,Wilson,49,Female,""1987-12-27"",Atlanta,Basic"
"user_4003,gym_6,""2023-08-21 20:50:00"",""2023-08-21 22:22:00"",Weightlifting,1742,David,Moore,45,Male,""1958-10-24"",San Francisco,Basic"
"user_2801,gym_5,""2023-05-15 06:55:00"",""2023-05-15 08:46:00"",Weightlifting,343,Linda,Wilson,37,Female,""1966-01-01"",Detroit,Basic"
"user_4264,gym_4,""2023-08-31 12:31:00"",""2023-08-31 13:46:00"",Pilates,726,John,Smith,23,Female,""2002-11-09"",Denver,Basic"
"user_223,gym_8,""2023-07-19 13:44:00"",""2023-07-19 15:47:00"",Yoga,408,Michael,Williams,34,Female,""2004-01-06"",Detroit,Pro"
"user_4565,gym_9,""2023-01-22 09:24:00"",""2023-01-22 10:00:00"",CrossFit,946,Emily,Moore,64,Male,""1994-01-28"",Austin,Student"
"user_4374,gym_2,""2023-10-08 17:40:00"",""2023-10-08 20:33:00"",CrossFit,1489,Robert,Moore,18,Male,""1962-01-13"",Las Vegas,Basic"
"user_2238,gym_1,""2023-04-22 14:47:00"",""2023-04-22 15:47:00"",Weightlifting,945,Daniel,Jones,42,Female,""1975-06-10"",Las Vegas,Basic"
"user_2579,gym_4,""2023-04-24 15:33:00"",""2023-04-24 16:54:00"",Cardio,480,Sarah,Moore,49,Female,""1999-06-19"",Orlando,Pro"
"user_1779,gym_5,""2023-07-08 18:01:00"",""2023-07-08 18:50:00"",Yoga,718,Linda,Williams,22,Female,""1989-09-14"",Austin,Pro"
"user_621,gym_7,""2023-03-31 20:23:00"",""2023-03-31 22:56:00"",Pilates,294,Chris,Martinez,18,Non-binary,""1981-02-25"",Orlando,Pro"
"user_1214,gym_10,""2023-07-25 18:43:00"",""2023-07-25 19:51:00"",CrossFit,1574,Emily,Jones,18,Male,""1988-03-05"",Boston,Pro"
